Dates,Forecasted_Close,Close
2023-03-26 14:00:00,,1.3734
2023-03-26 14:15:00,,1.3739
2023-03-26 14:30:00,,1.3736
2023-03-26 14:45:00,,1.3728
2023-03-26 15:00:00,,1.3738
2023-03-26 15:15:00,,1.3743
2023-03-26 15:30:00,,1.3739
2023-03-26 15:45:00,,1.3737
2023-03-26 16:00:00,,1.3738
2023-03-26 16:15:00,,1.3738
2023-03-26 16:30:00,,1.3739
2023-03-26 16:45:00,,1.3738
2023-03-26 17:00:00,,1.3736
2023-03-26 17:15:00,,1.3736
2023-03-26 17:30:00,,1.3737
2023-03-26 17:45:00,,1.374
2023-03-26 18:00:00,,1.3732
2023-03-26 18:15:00,,1.3731
2023-03-26 18:30:00,,1.3728
2023-03-26 18:45:00,,1.3731
2023-03-26 19:00:00,,1.373
2023-03-26 19:15:00,,1.3729
2023-03-26 19:30:00,,1.3729
2023-03-26 19:45:00,,1.3729
2023-03-26 20:00:00,,1.3731
2023-03-26 20:15:00,,1.3737
2023-03-26 20:30:00,,1.373
2023-03-26 20:45:00,,1.3734
2023-03-26 21:00:00,,1.3734
2023-03-26 21:15:00,,1.3733
2023-03-26 21:30:00,,1.3739
2023-03-26 21:45:00,,1.3738
2023-03-26 22:00:00,,1.3736
2023-03-26 22:15:00,,1.3736
2023-03-26 22:30:00,,1.3736
2023-03-26 22:45:00,,1.3734
2023-03-26 23:00:00,,1.3733
2023-03-26 23:15:00,,1.3735
2023-03-26 23:30:00,,1.3728
2023-03-26 23:45:00,,1.3725
2023-03-27 00:00:00,,1.3726
2023-03-27 00:15:00,,1.3727
2023-03-27 00:30:00,,1.3731
2023-03-27 00:45:00,,1.3732
2023-03-27 01:00:00,,1.3732
2023-03-27 01:15:00,,1.373
2023-03-27 01:30:00,,1.3733
2023-03-27 01:45:00,,1.3733
2023-03-27 02:00:00,,1.3737
2023-03-27 02:15:00,,1.3732
2023-03-27 02:30:00,,1.3735
2023-03-27 02:45:00,,1.3724
2023-03-27 03:00:00,,1.3723
2023-03-27 03:15:00,,1.3727
2023-03-27 03:30:00,,1.3734
2023-03-27 03:45:00,,1.3735
2023-03-27 04:00:00,,1.3721
2023-03-27 04:15:00,,1.3727
2023-03-27 04:30:00,,1.3727
2023-03-27 04:45:00,,1.3725
2023-03-27 05:00:00,,1.3731
2023-03-27 05:15:00,,1.3722
2023-03-27 05:30:00,,1.373
2023-03-27 05:45:00,,1.3733
2023-03-27 06:00:00,,1.3729
2023-03-27 06:15:00,,1.3727
2023-03-27 06:30:00,,1.3725
2023-03-27 06:45:00,,1.3729
2023-03-27 07:00:00,,1.3721
2023-03-27 07:15:00,,1.3715
2023-03-27 07:30:00,,1.3706
2023-03-27 07:45:00,,1.371
2023-03-27 08:00:00,,1.3709
2023-03-27 08:15:00,,1.3708
2023-03-27 08:30:00,,1.3714
2023-03-27 08:45:00,,1.3713
2023-03-27 09:00:00,,1.3704
2023-03-27 09:15:00,,1.3702
2023-03-27 09:30:00,,1.3689
2023-03-27 09:45:00,,1.37
2023-03-27 10:00:00,,1.3698
2023-03-27 10:15:00,,1.3691
2023-03-27 10:30:00,,1.3699
2023-03-27 10:45:00,,1.37
2023-03-27 11:00:00,,1.3702
2023-03-27 11:15:00,,1.3699
2023-03-27 11:30:00,,1.369
2023-03-27 11:45:00,,1.3687
2023-03-27 12:00:00,,1.3684
2023-03-27 12:15:00,,1.3676
2023-03-27 12:30:00,,1.367
2023-03-27 12:45:00,,1.3667
2023-03-27 13:00:00,,1.3667
2023-03-27 13:15:00,,1.3663
2023-03-27 13:30:00,,1.3661
2023-03-27 13:45:00,,1.3658
2023-03-27 14:00:00,,1.3659
2023-03-27 14:15:00,,1.3656
2023-03-27 14:30:00,,1.3655
2023-03-27 14:45:00,,1.3652
2023-03-27 15:00:00,,1.3656
2023-03-27 15:15:00,,1.3654
2023-03-27 15:30:00,,1.3657
2023-03-27 15:45:00,,1.3657
2023-03-27 16:00:00,,1.3655
2023-03-27 16:15:00,,1.3658
2023-03-27 16:30:00,,1.3658
2023-03-27 16:45:00,,1.3661
2023-03-27 17:00:00,,1.3657
2023-03-27 17:15:00,,1.366
2023-03-27 17:30:00,,1.3661
2023-03-27 17:45:00,,1.3661
2023-03-27 18:00:00,,1.3662
2023-03-27 18:15:00,,1.3662
2023-03-27 18:30:00,,1.3661
2023-03-27 18:45:00,,1.3664
2023-03-27 19:00:00,,1.3661
2023-03-27 19:15:00,,1.3656
2023-03-27 19:30:00,,1.3656
2023-03-27 19:45:00,,1.3655
2023-03-27 20:00:00,,1.3654
2023-03-27 20:15:00,,1.3655
2023-03-27 20:30:00,,1.3649
2023-03-27 20:45:00,,1.3644
2023-03-27 21:00:00,,1.3647
2023-03-27 21:15:00,,1.3645
2023-03-27 21:30:00,,1.3645
2023-03-27 21:45:00,,1.3643
2023-03-27 22:00:00,,1.3643
2023-03-27 22:15:00,,1.3642
2023-03-27 22:30:00,,1.3638
2023-03-27 22:45:00,,1.3641
2023-03-27 23:00:00,,1.3637
2023-03-27 23:15:00,,1.3636
2023-03-27 23:30:00,,1.3637
2023-03-27 23:45:00,,1.3637
2023-03-28 00:00:00,,1.3638
2023-03-28 00:15:00,,1.364
2023-03-28 00:30:00,,1.3637
2023-03-28 00:45:00,,1.364
2023-03-28 01:00:00,,1.3635
2023-03-28 01:15:00,,1.3636
2023-03-28 01:30:00,,1.3634
2023-03-28 01:45:00,,1.3635
2023-03-28 02:00:00,,1.3635
2023-03-28 02:15:00,,1.3639
2023-03-28 02:30:00,,1.3643
2023-03-28 02:45:00,,1.3642
2023-03-28 03:00:00,,1.3639
2023-03-28 03:15:00,,1.3636
2023-03-28 03:30:00,,1.3636
2023-03-28 03:45:00,,1.3644
2023-03-28 04:00:00,,1.3657
2023-03-28 04:15:00,,1.3669
2023-03-28 04:30:00,,1.3673
2023-03-28 04:45:00,,1.3682
2023-03-28 05:00:00,,1.3685
2023-03-28 05:15:00,,1.3692
2023-03-28 05:30:00,,1.3693
2023-03-28 05:45:00,,1.3687
2023-03-28 06:00:00,,1.3679
2023-03-28 06:15:00,,1.3671
2023-03-28 06:30:00,,1.3672
2023-03-28 06:45:00,,1.3667
2023-03-28 07:00:00,,1.3668
2023-03-28 07:15:00,,1.3663
2023-03-28 07:30:00,,1.3659
2023-03-28 07:45:00,,1.3664
2023-03-28 08:00:00,,1.3654
2023-03-28 08:15:00,,1.3654
2023-03-28 08:30:00,,1.3659
2023-03-28 08:45:00,,1.3658
2023-03-28 09:00:00,,1.3653
2023-03-28 09:15:00,,1.3658
2023-03-28 09:30:00,,1.3657
2023-03-28 09:45:00,,1.3661
2023-03-28 10:00:00,,1.3645
2023-03-28 10:15:00,,1.3638
2023-03-28 10:30:00,,1.3635
2023-03-28 10:45:00,,1.3629
2023-03-28 11:00:00,,1.362
2023-03-28 11:15:00,,1.3621
2023-03-28 11:30:00,,1.3621
2023-03-28 11:45:00,,1.3615
2023-03-28 12:00:00,,1.3617
2023-03-28 12:15:00,,1.3612
2023-03-28 12:30:00,,1.3606
2023-03-28 12:45:00,,1.3605
2023-03-28 13:00:00,,1.3613
2023-03-28 13:15:00,,1.3615
2023-03-28 13:30:00,,1.3615
2023-03-28 13:45:00,,1.3617
2023-03-28 14:00:00,,1.3617
2023-03-28 14:15:00,,1.3618
2023-03-28 14:30:00,,1.3612
2023-03-28 14:45:00,,1.3604
2023-03-28 15:00:00,,1.3603
2023-03-28 15:15:00,,1.3602
2023-03-28 15:30:00,,1.3595
2023-03-28 15:45:00,,1.3599
2023-03-28 16:00:00,,1.3598
2023-03-28 16:15:00,,1.3599
2023-03-28 16:30:00,,1.3597
2023-03-28 16:45:00,,1.3601
2023-03-28 17:00:00,,1.36
2023-03-28 17:15:00,,1.36
2023-03-28 17:30:00,,1.3599
2023-03-28 17:45:00,,1.3599
2023-03-28 18:00:00,,1.3596
2023-03-28 18:15:00,,1.3596
2023-03-28 18:30:00,,1.3598
2023-03-28 18:45:00,,1.36
2023-03-28 19:00:00,,1.36
2023-03-28 19:15:00,,1.3598
2023-03-28 19:30:00,,1.3594
2023-03-28 19:45:00,,1.3594
2023-03-28 20:00:00,,1.359
2023-03-28 20:15:00,,1.3592
2023-03-28 20:30:00,,1.3594
2023-03-28 20:45:00,,1.3592
2023-03-28 21:00:00,,1.3595
2023-03-28 21:15:00,,1.3591
2023-03-28 21:30:00,,1.3599
2023-03-28 21:45:00,,1.3593
2023-03-28 22:00:00,,1.3598
2023-03-28 22:15:00,,1.3599
2023-03-28 22:30:00,,1.36
2023-03-28 22:45:00,,1.3601
2023-03-28 23:00:00,,1.3603
2023-03-28 23:15:00,,1.3604
2023-03-28 23:30:00,,1.3605
2023-03-28 23:45:00,,1.3603
2023-03-29 00:00:00,,1.3604
2023-03-29 00:15:00,,1.3601
2023-03-29 00:30:00,,1.36
2023-03-29 00:45:00,,1.3601
2023-03-29 01:00:00,,1.3604
2023-03-29 01:15:00,,1.3608
2023-03-29 01:30:00,,1.3607
2023-03-29 01:45:00,,1.361
2023-03-29 02:00:00,,1.3614
2023-03-29 02:15:00,,1.3613
2023-03-29 02:30:00,,1.361
2023-03-29 02:45:00,,1.361
2023-03-29 03:00:00,,1.3612
2023-03-29 03:15:00,,1.361
2023-03-29 03:30:00,,1.3611
2023-03-29 03:45:00,,1.3609
2023-03-29 04:00:00,,1.3611
2023-03-29 04:15:00,,1.3604
2023-03-29 04:30:00,,1.3609
2023-03-29 04:45:00,,1.3607
2023-03-29 05:00:00,,1.3606
2023-03-29 05:15:00,,1.3595
2023-03-29 05:30:00,,1.3592
2023-03-29 05:45:00,,1.3587
2023-03-29 06:00:00,,1.3586
2023-03-29 06:15:00,,1.3594
2023-03-29 06:30:00,,1.3597
2023-03-29 06:45:00,,1.3596
2023-03-29 07:00:00,,1.3594
2023-03-29 07:15:00,,1.3581
2023-03-29 07:30:00,,1.3573
2023-03-29 07:45:00,,1.3581
2023-03-29 08:00:00,,1.3587
2023-03-29 08:15:00,,1.3587
2023-03-29 08:30:00,,1.3592
2023-03-29 08:45:00,,1.3587
2023-03-29 09:00:00,,1.3594
2023-03-29 09:15:00,,1.3599
2023-03-29 09:30:00,,1.3586
2023-03-29 09:45:00,,1.3574
2023-03-29 10:00:00,,1.3572
2023-03-29 10:15:00,,1.3576
2023-03-29 10:30:00,,1.3575
2023-03-29 10:45:00,,1.3585
2023-03-29 11:00:00,,1.3582
2023-03-29 11:15:00,,1.3575
2023-03-29 11:30:00,,1.3573
2023-03-29 11:45:00,,1.3576
2023-03-29 12:00:00,,1.3574
2023-03-29 12:15:00,,1.3579
2023-03-29 12:30:00,,1.3576
2023-03-29 12:45:00,,1.3574
2023-03-29 13:00:00,,1.3571
2023-03-29 13:15:00,,1.3566
2023-03-29 13:30:00,,1.3563
2023-03-29 13:45:00,,1.3566
2023-03-29 14:00:00,,1.3569
2023-03-29 14:15:00,,1.3569
2023-03-29 14:30:00,,1.357
2023-03-29 14:45:00,,1.3568
2023-03-29 15:00:00,,1.3566
2023-03-29 15:15:00,,1.3566
2023-03-29 15:30:00,,1.3567
2023-03-29 15:45:00,,1.3567
2023-03-29 16:00:00,,1.3565
2023-03-29 16:15:00,,1.3563
2023-03-29 16:30:00,,1.356
2023-03-29 16:45:00,,1.3559
2023-03-29 17:00:00,,1.356
2023-03-29 17:15:00,,1.3559
2023-03-29 17:30:00,,1.356
2023-03-29 17:45:00,,1.3563
2023-03-29 18:00:00,,1.3558
2023-03-29 18:15:00,,1.3558
2023-03-29 18:30:00,,1.3559
2023-03-29 18:45:00,,1.3557
2023-03-29 19:00:00,,1.356
2023-03-29 19:15:00,,1.3561
2023-03-29 19:30:00,,1.3561
2023-03-29 19:45:00,,1.3567
2023-03-29 20:00:00,,1.3567
2023-03-29 20:15:00,,1.3568
2023-03-29 20:30:00,,1.3569
2023-03-29 20:45:00,,1.3569
2023-03-29 21:00:00,,1.3573
2023-03-29 21:15:00,,1.3577
2023-03-29 21:30:00,,1.3579
2023-03-29 21:45:00,,1.3577
2023-03-29 22:00:00,,1.3578
2023-03-29 22:15:00,,1.3571
2023-03-29 22:30:00,,1.3575
2023-03-29 22:45:00,,1.358
2023-03-29 23:00:00,,1.3577
2023-03-29 23:15:00,,1.3573
2023-03-29 23:30:00,,1.3573
2023-03-29 23:45:00,,1.3575
2023-03-30 00:00:00,,1.3574
2023-03-30 00:15:00,,1.3573
2023-03-30 00:30:00,,1.3569
2023-03-30 00:45:00,,1.3567
2023-03-30 01:00:00,,1.3567
2023-03-30 01:15:00,,1.3563
2023-03-30 01:30:00,,1.3558
2023-03-30 01:45:00,,1.355
2023-03-30 02:00:00,,1.3548
2023-03-30 02:15:00,,1.355
2023-03-30 02:30:00,,1.3549
2023-03-30 02:45:00,,1.3546
2023-03-30 03:00:00,,1.3544
2023-03-30 03:15:00,,1.3543
2023-03-30 03:30:00,,1.3538
2023-03-30 03:45:00,,1.3537
2023-03-30 04:00:00,,1.3538
2023-03-30 04:15:00,,1.3544
2023-03-30 04:30:00,,1.3536
2023-03-30 04:45:00,,1.3536
2023-03-30 05:00:00,,1.3531
2023-03-30 05:15:00,,1.3532
2023-03-30 05:30:00,,1.3541
2023-03-30 05:45:00,,1.3548
2023-03-30 06:00:00,,1.3547
2023-03-30 06:15:00,,1.3553
2023-03-30 06:30:00,,1.3546
2023-03-30 06:45:00,,1.3552
2023-03-30 07:00:00,,1.3554
2023-03-30 07:15:00,,1.3556
2023-03-30 07:30:00,,1.3545
2023-03-30 07:45:00,,1.3537
2023-03-30 08:00:00,,1.354
2023-03-30 08:15:00,,1.3537
2023-03-30 08:30:00,,1.3541
2023-03-30 08:45:00,,1.3541
2023-03-30 09:00:00,,1.3539
2023-03-30 09:15:00,,1.3536
2023-03-30 09:30:00,,1.3534
2023-03-30 09:45:00,,1.3528
2023-03-30 10:00:00,,1.3539
2023-03-30 10:15:00,,1.3536
2023-03-30 10:30:00,,1.3526
2023-03-30 10:45:00,,1.3531
2023-03-30 11:00:00,,1.3539
2023-03-30 11:15:00,,1.3531
2023-03-30 11:30:00,,1.3529
2023-03-30 11:45:00,,1.3537
2023-03-30 12:00:00,,1.3532
2023-03-30 12:15:00,,1.353
2023-03-30 12:30:00,,1.353
2023-03-30 12:45:00,,1.3529
2023-03-30 13:00:00,,1.3528
2023-03-30 13:15:00,,1.3532
2023-03-30 13:30:00,,1.3539
2023-03-30 13:45:00,,1.3538
2023-03-30 14:00:00,,1.3536
2023-03-30 14:15:00,,1.3533
2023-03-30 14:30:00,,1.3526
2023-03-30 14:45:00,,1.352
2023-03-30 15:00:00,,1.3523
2023-03-30 15:15:00,,1.3524
2023-03-30 15:30:00,,1.3525
2023-03-30 15:45:00,,1.3524
2023-03-30 16:00:00,,1.3524
2023-03-30 16:15:00,,1.3522
2023-03-30 16:30:00,,1.3523
2023-03-30 16:45:00,,1.3523
2023-03-30 17:00:00,,1.3525
2023-03-30 17:15:00,,1.3524
2023-03-30 17:30:00,,1.3525
2023-03-30 17:45:00,,1.3525
2023-03-30 18:00:00,,1.3523
2023-03-30 18:15:00,,1.3523
2023-03-30 18:30:00,,1.3523
2023-03-30 18:45:00,,1.3523
2023-03-30 19:00:00,,1.3521
2023-03-30 19:15:00,,1.3521
2023-03-30 19:30:00,,1.352
2023-03-30 19:45:00,,1.3523
2023-03-30 20:00:00,,1.3521
2023-03-30 20:15:00,,1.3521
2023-03-30 20:30:00,,1.352
2023-03-30 20:45:00,,1.352
2023-03-30 21:00:00,,1.3519
2023-03-30 21:15:00,,1.3515
2023-03-30 21:30:00,,1.351
2023-03-30 21:45:00,,1.3515
2023-03-30 22:00:00,,1.3516
2023-03-30 22:15:00,,1.3515
2023-03-30 22:30:00,,1.3515
2023-03-30 22:45:00,,1.3516
2023-03-30 23:00:00,,1.352
2023-03-30 23:15:00,,1.3522
2023-03-30 23:30:00,,1.3525
2023-03-30 23:45:00,,1.352
2023-03-31 00:00:00,,1.352
2023-03-31 00:15:00,,1.3522
2023-03-31 00:30:00,,1.3525
2023-03-31 00:45:00,,1.3526
2023-03-31 01:00:00,,1.3528
2023-03-31 01:15:00,,1.3532
2023-03-31 01:30:00,,1.3527
2023-03-31 01:45:00,,1.3528
2023-03-31 02:00:00,,1.3529
2023-03-31 02:15:00,,1.3537
2023-03-31 02:30:00,,1.3537
2023-03-31 02:45:00,,1.3536
2023-03-31 03:00:00,,1.3539
2023-03-31 03:15:00,,1.3549
2023-03-31 03:30:00,,1.3558
2023-03-31 03:45:00,,1.3554
2023-03-31 04:00:00,,1.3556
2023-03-31 04:15:00,,1.3557
2023-03-31 04:30:00,,1.3553
2023-03-31 04:45:00,,1.3555
2023-03-31 05:00:00,,1.3549
2023-03-31 05:15:00,,1.3548
2023-03-31 05:30:00,,1.3551
2023-03-31 05:45:00,,1.3545
2023-03-31 06:00:00,,1.3542
2023-03-31 06:15:00,,1.3541
2023-03-31 06:30:00,,1.3539
2023-03-31 06:45:00,,1.3548
2023-03-31 07:00:00,,1.3555
2023-03-31 07:15:00,,1.3556
2023-03-31 07:30:00,,1.3547
2023-03-31 07:45:00,,1.3549
2023-03-31 08:00:00,,1.3551
2023-03-31 08:15:00,,1.3551
2023-03-31 08:30:00,,1.3549
2023-03-31 08:45:00,,1.3546
2023-03-31 09:00:00,,1.3539
2023-03-31 09:15:00,,1.3537
2023-03-31 09:30:00,,1.3529
2023-03-31 09:45:00,,1.3531
2023-03-31 10:00:00,,1.3529
2023-03-31 10:15:00,,1.3536
2023-03-31 10:30:00,,1.3527
2023-03-31 10:45:00,,1.3535
2023-03-31 11:00:00,,1.3537
2023-03-31 11:15:00,,1.353
2023-03-31 11:30:00,,1.3524
2023-03-31 11:45:00,,1.3525
2023-03-31 12:00:00,,1.3526
2023-03-31 12:15:00,,1.3527
2023-03-31 12:30:00,,1.3528
2023-03-31 12:45:00,,1.3523
2023-03-31 13:00:00,,1.3531
2023-03-31 13:15:00,,1.354
2023-03-31 13:30:00,,1.3536
2023-03-31 13:45:00,,1.3537
2023-03-31 14:00:00,,1.354
2023-03-31 14:15:00,,1.3539
2023-03-31 14:30:00,,1.3533
2023-03-31 14:45:00,,1.3532
2023-03-31 15:00:00,,1.3528
2023-03-31 15:15:00,,1.3524
2023-03-31 15:30:00,,1.3528
2023-03-31 15:45:00,,1.3516
2023-03-31 16:00:00,,1.3516
